,IDCliente,Genero,Aposentado,Casado,Dependentes,MesesComoCliente,ServicoTelefone,MultiplasLinhas,ServicoInternet,ServicoSegurancaOnline,ServicoBackupOnline,ProtecaoEquipamento,ServicoSuporteTecnico,ServicoStreamingTV,ServicoFilmes,TipoContrato,FaturaDigital,FormaPagamento,ValorMensal,TotalSpend,Churn,Codigo
2578,0354-WYROK,Feminino,1,Yes,Yes,31,Yes,No,Fibra,No,No,Yes,Yes,Yes,Yes,Mensal,Yes,BoletoEletronico,98.9,2911.3,Yes,
848,9778-OGKQZ,Masculino,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,2 anos,Yes,CartaoCredito,92.0,6782.15,No,
2916,4139-JPIAM,Masculino,0,No,No,51,No,SemTelefone,DSL,Yes,No,No,Yes,No,Yes,Mensal,Yes,CartaoCredito,44.45,2181.55,No,
4010,3727-JEZTU,Feminino,0,No,No,1,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,No,BoletoImpresso,20.4,20.4,No,
3912,3882-IYOIJ,Feminino,0,Yes,Yes,60,Yes,Yes,Fibra,Yes,Yes,Yes,Yes,Yes,Yes,2 anos,No,CartaoCredito,115.25,6758.45,No,
2154,4335-UPJSI,Feminino,0,No,Yes,24,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,No,BoletoImpresso,19.75,498.1,No,
47,7760-OYPDY,Feminino,0,No,No,2,Yes,No,Fibra,No,No,No,No,Yes,No,Mensal,Yes,BoletoEletronico,80.65,144.15,Yes,
3303,7786-WBJYI,Feminino,0,No,No,4,Yes,Yes,Fibra,No,Yes,No,No,No,No,Mensal,No,DebitoAutomatico,77.95,305.55,Yes,
1350,4102-HLENU,Feminino,0,Yes,No,67,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,2 anos,No,BoletoImpresso,65.65,4322.85,No,
5321,7718-UPSKJ,Feminino,0,Yes,No,69,Yes,No,Fibra,Yes,Yes,No,Yes,Yes,Yes,Anual,Yes,CartaoCredito,106.4,7251.9,No,
446,4110-PFEUZ,Feminino,0,No,No,1,Yes,No,Fibra,No,No,No,No,No,No,Mensal,No,BoletoImpresso,69.55,69.55,Yes,
1743,3768-VHXQO,Masculino,0,Yes,No,67,Yes,Yes,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,No,CartaoCredito,24.85,1583.5,No,
844,3027-ZTDHO,Masculino,0,No,No,1,Yes,No,Fibra,No,No,No,No,Yes,Yes,Mensal,Yes,BoletoEletronico,89.9,89.9,Yes,
6138,4833-QTJNO,Masculino,1,Yes,No,67,Yes,Yes,Fibra,Yes,Yes,No,No,No,No,Mensal,No,DebitoAutomatico,83.85,5588.8,No,
2418,0141-YEAYS,Feminino,1,No,No,27,Yes,Yes,Fibra,No,Yes,Yes,No,No,No,Mensal,Yes,DebitoAutomatico,86.45,2401.05,No,
3742,9822-WMWVG,Feminino,0,No,No,41,Yes,Yes,Fibra,Yes,Yes,Yes,Yes,Yes,No,Mensal,Yes,BoletoEletronico,106.5,4282.4,No,
3535,3612-YUNGG,Masculino,0,Yes,Yes,64,Yes,Yes,Fibra,No,Yes,Yes,Yes,Yes,Yes,2 anos,Yes,CartaoCredito,109.2,6741.15,No,
4081,7665-TOALD,Feminino,0,No,No,1,Yes,No,Fibra,No,No,No,No,No,No,Mensal,Yes,BoletoEletronico,69.6,69.6,Yes,
1294,5027-XWQHA,Masculino,0,No,No,6,Yes,No,DSL,No,No,No,No,No,No,Mensal,No,BoletoEletronico,44.75,270.95,Yes,
2972,9443-JUBUO,Masculino,0,Yes,Yes,72,No,SemTelefone,DSL,Yes,Yes,Yes,Yes,Yes,Yes,2 anos,Yes,CartaoCredito,65.25,4478.85,No,
3834,2325-ZUSFD,Feminino,0,Yes,Yes,57,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Anual,Yes,DebitoAutomatico,70.1,3913.3,Yes,
6577,6953-PBDIN,Masculino,0,Yes,No,70,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,2 anos,No,DebitoAutomatico,72.95,5265.55,No,
5027,3247-ZVOUO,Masculino,1,Yes,No,10,Yes,Yes,Fibra,No,No,No,No,No,Yes,Mensal,No,BoletoEletronico,85.55,851.75,Yes,
5553,6629-CZTTH,Masculino,0,No,No,1,Yes,No,DSL,No,No,No,No,No,Yes,Mensal,Yes,BoletoImpresso,55.7,55.7,Yes,
1112,2176-LVPNX,Feminino,1,No,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,2 anos,No,BoletoImpresso,89.85,6293.45,No,
776,9505-SQFSW,Feminino,0,Yes,Yes,3,No,SemTelefone,DSL,No,Yes,No,No,No,Yes,Mensal,No,BoletoImpresso,40.3,92.5,No,
6655,1705-GUHPV,Feminino,0,No,No,63,Yes,Yes,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,No,BoletoImpresso,24.2,1618.2,No,
2153,7978-DKUQH,Feminino,0,Yes,No,25,Yes,No,Fibra,No,No,Yes,No,No,No,Mensal,Yes,BoletoEletronico,74.6,1797.75,No,
4778,7608-RGIRO,Masculino,0,No,Yes,62,Yes,Yes,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Yes,BoletoImpresso,24.4,1413,No,
4796,3807-BPOMJ,Feminino,0,Yes,No,55,Yes,No,Fibra,Yes,No,No,No,Yes,Yes,Anual,Yes,BoletoEletronico,94.75,5276.1,No,
6742,1960-UOTYM,Masculino,0,Yes,Yes,52,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,2 anos,No,BoletoEletronico,79.2,4016.3,No,
4827,9560-ARGQJ,Feminino,0,No,Yes,16,Yes,No,Fibra,No,No,No,No,Yes,No,Mensal,Yes,BoletoEletronico,81.0,1312.15,Yes,
3413,5294-DMSFH,Feminino,0,Yes,Yes,29,Yes,No,Fibra,No,No,No,No,Yes,Yes,Mensal,Yes,CartaoCredito,87.8,2621.75,No,
1851,2485-ITVKB,Feminino,0,Yes,No,2,No,SemTelefone,DSL,No,No,No,No,No,Yes,Mensal,Yes,BoletoEletronico,35.1,68.75,Yes,
1963,7967-HYCDE,Masculino,0,No,No,8,Yes,No,Fibra,No,No,No,No,No,No,Mensal,No,DebitoAutomatico,70.7,553.4,No,
2288,2135-DQWAQ,Feminino,0,No,No,5,Yes,No,Fibra,No,Yes,No,No,Yes,No,Mensal,Yes,BoletoImpresso,85.3,420.45,No,
3933,5396-IZEPB,Masculino,0,No,No,9,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,No,CartaoCredito,19.7,180.7,No,
3007,6022-UGGSO,Feminino,1,No,No,32,Yes,No,Fibra,No,Yes,No,No,No,No,Mensal,Yes,BoletoEletronico,74.4,2276.95,Yes,
485,7971-HLVXI,Masculino,0,Yes,Yes,72,Yes,Yes,Fibra,No,No,No,No,No,Yes,2 anos,Yes,CartaoCredito,84.5,6130.85,No,
2413,7021-XSNYE,Masculino,0,Yes,Yes,7,No,SemTelefone,DSL,Yes,No,Yes,Yes,No,Yes,2 anos,No,CartaoCredito,49.65,305.55,No,
4680,1986-PHGZF,Masculino,1,No,No,18,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Mensal,Yes,CartaoCredito,58.4,964.9,No,
5394,5118-MUEYH,Feminino,0,Yes,No,48,Yes,Yes,Fibra,No,Yes,No,Yes,Yes,Yes,Mensal,Yes,CartaoCredito,105.1,5083.55,No,
30,3841-NFECX,Feminino,1,Yes,No,71,Yes,Yes,Fibra,Yes,Yes,Yes,Yes,No,No,2 anos,Yes,CartaoCredito,96.35,6766.95,No,
1879,3494-JCHRQ,Masculino,0,No,No,1,Yes,No,Fibra,No,No,No,No,No,No,Mensal,Yes,BoletoEletronico,70.05,70.05,Yes,
2684,5440-VHLUL,Masculino,0,No,No,69,Yes,Yes,Fibra,No,Yes,No,Yes,Yes,Yes,Anual,Yes,DebitoAutomatico,105.2,7386.05,No,
4727,3154-HMWUU,Masculino,0,Yes,No,60,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Yes,DebitoAutomatico,20.5,1198.8,No,
6509,0616-ATFGB,Masculino,1,Yes,No,1,No,SemTelefone,DSL,No,No,No,No,No,No,Mensal,No,BoletoEletronico,25.05,25.05,Yes,
4534,2607-FBDFF,Masculino,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Mensal,No,CartaoCredito,49.0,49,No,
4803,3717-LNXKW,Masculino,0,Yes,No,38,Yes,Yes,Fibra,Yes,No,No,No,Yes,No,Mensal,No,DebitoAutomatico,91.7,3479.05,No,
3298,1336-EZFZY,Feminino,0,No,No,4,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,No,BoletoImpresso,20.05,83.3,No,
636,7954-MLBUN,Masculino,0,No,No,31,Yes,No,Fibra,No,No,Yes,Yes,Yes,Yes,2 anos,No,DebitoAutomatico,99.45,3109.9,No,
5543,6646-JPPHA,Feminino,1,No,No,14,Yes,No,Fibra,Yes,Yes,No,No,No,No,Mensal,No,BoletoEletronico,78.85,1043.8,No,
2375,0013-SMEOE,Feminino,1,Yes,No,71,Yes,No,Fibra,Yes,Yes,Yes,Yes,Yes,Yes,2 anos,Yes,DebitoAutomatico,109.7,7904.25,No,
1083,9878-TNQGW,Masculino,0,No,No,2,Yes,No,Fibra,No,No,No,No,No,Yes,Mensal,Yes,BoletoEletronico,80.95,171.15,Yes,
861,9777-IQHWP,Masculino,0,Yes,Yes,64,Yes,Yes,Fibra,Yes,No,Yes,No,No,Yes,2 anos,No,DebitoAutomatico,93.4,5822.3,No,
3195,0570-BFQHT,Feminino,0,No,No,9,Yes,No,Fibra,No,Yes,Yes,No,No,No,Mensal,No,BoletoEletronico,80.55,653.9,No,
903,5285-MVEHD,Feminino,0,Yes,No,56,Yes,No,Fibra,Yes,Yes,Yes,No,Yes,Yes,Anual,Yes,CartaoCredito,105.6,6068.65,No,
2845,9093-FPDLG,Feminino,0,No,No,11,Yes,No,Fibra,No,Yes,Yes,Yes,No,Yes,Mensal,Yes,BoletoEletronico,94.2,999.9,No,
109,2848-YXSMW,Masculino,0,Yes,Yes,72,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,No,CartaoCredito,19.4,1363.25,No,
6774,0970-QXPXW,Feminino,0,No,No,1,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,No,BoletoImpresso,19.65,19.65,No,
3751,2522-AHJXR,Masculino,0,Yes,No,60,Yes,Yes,Fibra,Yes,No,Yes,Yes,Yes,Yes,Mensal,Yes,DebitoAutomatico,109.45,6572.85,No,
3620,9373-WSLOY,Masculino,1,Yes,No,33,No,SemTelefone,DSL,No,Yes,Yes,Yes,Yes,No,Mensal,Yes,BoletoEletronico,50.0,1750.85,No,
2338,4277-BWBML,Masculino,0,Yes,Yes,72,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,No,DebitoAutomatico,19.95,1322.85,No,
5913,6156-UZDLF,Feminino,0,No,No,26,Yes,No,Fibra,Yes,No,Yes,Yes,No,No,Anual,Yes,CartaoCredito,87.15,2274.1,No,
4538,0378-TOVMS,Feminino,0,No,No,3,Yes,No,Fibra,No,No,No,Yes,No,Yes,Mensal,No,BoletoEletronico,85.8,272.2,Yes,
4915,2436-QBZFP,Feminino,0,Yes,Yes,22,No,SemTelefone,DSL,No,Yes,No,No,Yes,No,Mensal,No,BoletoEletronico,39.2,849.9,No,
1831,3402-XRIUO,Feminino,1,Yes,No,22,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Mensal,Yes,BoletoImpresso,63.55,1381.8,No,
5576,4929-BSTRX,Feminino,0,No,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Mensal,Yes,BoletoImpresso,53.55,53.55,Yes,
782,0285-INHLN,Masculino,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,No,No,No,No,Mensal,Yes,CartaoCredito,54.75,1510.3,No,
6877,4501-EQDRN,Feminino,0,No,No,1,Yes,No,Fibra,No,No,No,No,No,No,Mensal,No,DebitoAutomatico,69.7,69.7,Yes,
3334,0337-CNPZE,Feminino,0,No,No,41,Yes,Yes,Fibra,No,Yes,Yes,No,Yes,Yes,Mensal,Yes,BoletoEletronico,106.3,4443.45,Yes,
6708,2272-QAGFO,Feminino,1,No,No,14,Yes,Yes,Fibra,No,No,No,No,No,No,Mensal,Yes,BoletoEletronico,74.3,1096.25,Yes,
2862,5027-QPKTE,Masculino,0,Yes,No,7,Yes,No,Fibra,No,No,No,No,No,No,Mensal,Yes,BoletoEletronico,69.35,451.1,Yes,
1825,5423-BHIXO,Feminino,0,No,No,32,Yes,Yes,DSL,No,Yes,No,No,No,No,Mensal,Yes,BoletoEletronico,54.2,1739.6,No,
1094,1338-CECEE,Masculino,0,Yes,Yes,41,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Anual,No,DebitoAutomatico,68.5,2839.95,No,
4928,2718-GAXQD,Feminino,1,Yes,Yes,4,Yes,No,DSL,No,No,No,No,No,No,Mensal,No,BoletoEletronico,46.0,181.6,Yes,
3109,4521-WFJAI,Masculino,0,No,No,56,Yes,Yes,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Yes,DebitoAutomatico,25.95,1444.05,No,
2619,3336-JORSO,Feminino,1,No,No,33,Yes,Yes,Fibra,No,Yes,Yes,Yes,Yes,Yes,Mensal,Yes,BoletoEletronico,110.45,3655.45,Yes,
4262,5485-WUYWF,Masculino,1,No,No,2,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Mensal,No,DebitoAutomatico,66.4,94.55,Yes,
3980,8868-WOZGU,Masculino,0,No,No,28,Yes,Yes,Fibra,No,Yes,Yes,No,Yes,Yes,Mensal,Yes,BoletoEletronico,105.7,2979.5,Yes,
5436,7246-ZGQDF,Feminino,0,No,Yes,1,Yes,No,DSL,Yes,No,No,Yes,No,No,Mensal,No,BoletoEletronico,54.5,54.5,No,
1654,2967-MXRAV,Masculino,0,Yes,Yes,1,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,No,BoletoImpresso,18.8,18.8,No,
5860,4512-ZUIYL,Feminino,0,No,No,2,Yes,No,Fibra,No,No,No,No,No,No,Mensal,No,DebitoAutomatico,70.0,153.05,Yes,
7041,8361-LTMKD,Masculino,1,Yes,No,4,Yes,Yes,Fibra,No,No,No,No,No,No,Mensal,Yes,BoletoImpresso,74.4,306.6,Yes,
4567,2697-NQBPF,Masculino,0,No,No,34,Yes,Yes,Fibra,No,Yes,No,Yes,Yes,Yes,Mensal,Yes,BoletoEletronico,105.35,3540.65,No,
3836,6872-HXFNF,Feminino,0,Yes,No,64,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Anual,No,DebitoAutomatico,58.35,3756.45,No,
4570,1386-ZIKUV,Masculino,0,No,No,7,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Yes,BoletoImpresso,18.95,130.55,No,
6224,2330-PQGDQ,Masculino,0,Yes,Yes,51,Yes,Yes,Fibra,No,Yes,No,Yes,No,No,Anual,No,DebitoAutomatico,84.2,4299.75,No,
4385,1930-BZLHI,Masculino,0,No,No,21,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Yes,BoletoImpresso,20.35,422.7,No,
6421,2999-AANRQ,Feminino,0,No,No,21,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,2 anos,No,CartaoCredito,71.05,1524.85,No,
2457,5198-EFNBM,Masculino,1,Yes,No,57,Yes,No,Fibra,No,Yes,Yes,No,Yes,No,Anual,Yes,BoletoEletronico,90.65,5199.8,No,
3383,8185-UPYBR,Masculino,0,Yes,No,6,Yes,Yes,Fibra,No,No,No,No,No,No,Mensal,Yes,BoletoEletronico,75.5,438,Yes,
2588,5780-INQIK,Feminino,0,No,No,8,Yes,No,DSL,No,No,No,Yes,No,No,Mensal,No,BoletoEletronico,49.4,408.25,No,
1204,6791-YBNAK,Masculino,0,Yes,Yes,18,No,SemTelefone,DSL,No,No,No,No,No,No,Mensal,No,CartaoCredito,25.55,467.85,No,
2202,5931-FLJJF,Masculino,1,Yes,No,7,Yes,No,Fibra,No,No,No,No,No,No,Mensal,Yes,BoletoImpresso,70.1,467.55,Yes,
2648,6131-FOYAS,Masculino,0,No,No,35,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Mensal,Yes,BoletoEletronico,59.6,2094.9,No,
4655,5985-TBABQ,Feminino,0,No,No,32,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Anual,No,BoletoImpresso,74.75,2282.95,No,
5425,4998-IKFSE,Feminino,0,No,No,30,Yes,Yes,Fibra,No,No,Yes,No,Yes,Yes,Mensal,No,BoletoEletronico,100.45,3096.9,No,
4674,0980-FEXWF,Masculino,0,Yes,Yes,26,Yes,No,DSL,No,No,Yes,No,No,No,Anual,No,BoletoImpresso,50.35,1285.8,No,
7004,6075-SLNIL,Masculino,0,No,No,38,Yes,Yes,Fibra,No,Yes,Yes,No,No,Yes,Mensal,Yes,CartaoCredito,95.1,3691.2,No,
1770,7279-BUYWN,Feminino,1,No,No,41,Yes,Yes,Fibra,Yes,Yes,Yes,No,Yes,Yes,Mensal,Yes,BoletoEletronico,113.2,4689.5,Yes,
829,5337-IIWKZ,Masculino,0,Yes,Yes,34,No,SemTelefone,DSL,No,No,Yes,Yes,Yes,No,Mensal,Yes,BoletoEletronico,44.85,1442.6,No,
7031,3605-JISKB,Masculino,1,Yes,No,55,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Anual,No,CartaoCredito,60.0,3316.1,No,
6814,2267-WTPYD,Feminino,1,Yes,No,57,Yes,Yes,Fibra,No,Yes,Yes,No,No,Yes,Mensal,No,CartaoCredito,94.0,5438.95,No,
627,6797-UCJHZ,Feminino,1,Yes,No,66,Yes,Yes,Fibra,No,Yes,Yes,No,Yes,Yes,Anual,No,CartaoCredito,104.6,6819.45,No,
4125,2716-GFZOR,Masculino,0,Yes,No,43,Yes,No,Fibra,Yes,Yes,Yes,No,No,No,Mensal,Yes,CartaoCredito,86.1,3551.65,No,
925,5393-HJZSM,Feminino,0,Yes,Yes,32,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Mensal,No,DebitoAutomatico,76.3,2404.15,No,
295,8203-XJZRC,Masculino,0,No,No,1,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,No,BoletoImpresso,20.25,20.25,No,
1052,7013-PSXHK,Feminino,0,No,No,40,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Anual,Yes,BoletoImpresso,80.75,3208.65,No,
3688,5312-UXESG,Feminino,0,No,No,41,Yes,Yes,Fibra,No,No,Yes,No,Yes,Yes,Mensal,No,DebitoAutomatico,98.05,3990.6,No,
3563,6741-EGCBI,Masculino,1,No,No,30,Yes,Yes,Fibra,Yes,No,No,No,No,Yes,Mensal,Yes,CartaoCredito,90.5,2595.85,No,
2260,6204-IEUXJ,Feminino,0,No,No,3,Yes,No,Fibra,No,No,Yes,Yes,No,No,Mensal,No,CartaoCredito,80.1,217.55,Yes,
944,6353-BRMMA,Feminino,0,Yes,Yes,54,Yes,Yes,Fibra,Yes,Yes,No,No,Yes,Yes,Mensal,Yes,DebitoAutomatico,104.1,5645.8,No,
5599,2344-JMOGN,Masculino,0,Yes,No,9,Yes,No,Fibra,No,Yes,Yes,Yes,Yes,No,Mensal,Yes,BoletoImpresso,94.85,890.6,Yes,
5839,2077-MPJQO,Masculino,1,Yes,No,7,Yes,Yes,Fibra,No,No,No,No,No,No,Mensal,Yes,BoletoEletronico,75.4,533.05,No,
12,8091-TTVAX,Masculino,0,Yes,No,58,Yes,Yes,Fibra,No,No,Yes,No,Yes,Yes,Anual,No,CartaoCredito,100.35,5681.1,No,
1117,6900-RBKER,Masculino,0,No,No,52,Yes,Yes,Fibra,No,No,Yes,No,No,Yes,2 anos,Yes,CartaoCredito,89.45,4577.75,No,
6087,8319-QBEHW,Masculino,0,No,Yes,26,No,SemTelefone,DSL,No,Yes,No,No,Yes,No,Anual,Yes,DebitoAutomatico,39.95,1023.75,No,
5369,9860-LISIZ,Feminino,0,No,No,34,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,No,BoletoImpresso,20.35,673.2,No,
3903,5206-XZZQI,Masculino,0,No,No,53,Yes,No,Fibra,No,Yes,No,Yes,No,No,Mensal,Yes,BoletoImpresso,80.6,4348.1,No,
6452,9529-OFXHY,Masculino,0,No,No,15,Yes,Yes,Fibra,Yes,No,No,No,Yes,No,Mensal,Yes,DebitoAutomatico,87.75,1242.2,No,
1319,1725-MIMXW,Masculino,0,No,Yes,1,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Yes,BoletoImpresso,19.45,19.45,Yes,
3947,4324-AHJKS,Feminino,0,No,No,5,Yes,No,DSL,Yes,No,Yes,No,No,No,Mensal,No,CartaoCredito,55.8,300.4,No,
6883,2133-TSRRM,Feminino,0,No,Yes,34,Yes,No,Fibra,Yes,Yes,Yes,No,Yes,Yes,Mensal,Yes,DebitoAutomatico,105.35,3688.6,No,
6440,2809-ZMYOQ,Feminino,0,No,No,32,Yes,Yes,Fibra,No,No,Yes,No,Yes,Yes,Mensal,Yes,BoletoEletronico,101.35,3334.9,No,
3213,4032-RMHCI,Feminino,0,Yes,Yes,41,No,SemTelefone,DSL,Yes,No,Yes,No,No,No,Anual,No,CartaoCredito,35.4,1412.4,No,
6263,8409-WQJUX,Feminino,0,No,No,25,No,SemTelefone,DSL,No,No,Yes,Yes,Yes,Yes,Anual,No,BoletoEletronico,54.2,1423.15,No,
3252,1536-YHDOE,Masculino,0,Yes,Yes,17,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Anual,Yes,BoletoImpresso,62.1,1096.65,No,
653,1140-UKVZG,Feminino,0,No,No,17,Yes,Yes,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,No,BoletoImpresso,24.8,475.25,No,
3992,2987-BJXIK,Feminino,0,No,No,70,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,2 anos,No,BoletoImpresso,84.7,5991.05,No,
6409,3653-NCRDJ,Masculino,0,Yes,Yes,43,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Yes,BoletoImpresso,19.2,776.25,No,
3982,9365-CSLBQ,Masculino,0,No,Yes,71,Yes,Yes,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,No,BoletoImpresso,24.35,1654.6,No,
2431,8263-JQAIK,Masculino,1,No,No,2,No,SemTelefone,DSL,No,No,No,No,No,No,Mensal,Yes,BoletoImpresso,24.45,47.5,Yes,
6870,3452-SRFEG,Masculino,0,No,No,49,Yes,Yes,Fibra,No,No,No,No,No,No,Mensal,Yes,DebitoAutomatico,74.6,3720.35,No,
5527,5985-BEHZK,Feminino,1,Yes,No,72,Yes,Yes,Fibra,No,Yes,Yes,No,Yes,Yes,Anual,No,CartaoCredito,105.0,7578.05,No,
3706,4993-JCRGJ,Masculino,0,No,No,26,Yes,Yes,Fibra,No,No,Yes,Yes,No,No,Mensal,Yes,BoletoImpresso,84.3,2281.6,No,
2423,1133-KXCGE,Feminino,0,No,No,18,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,No,BoletoImpresso,20.1,407.05,No,
6240,6521-YYTYI,Masculino,0,No,Yes,1,Yes,Yes,Fibra,No,No,No,No,Yes,Yes,Mensal,Yes,BoletoEletronico,93.3,93.3,Yes,
2804,6158-DWPZT,Masculino,0,Yes,No,9,No,SemTelefone,DSL,No,No,No,No,No,No,Anual,No,DebitoAutomatico,24.1,259.8,Yes,
4881,2305-MRGLV,Masculino,0,Yes,No,28,Yes,No,Fibra,No,No,No,Yes,No,No,Mensal,No,DebitoAutomatico,76.55,2065.4,No,
570,7293-LSCDV,Feminino,0,Yes,Yes,60,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Yes,CartaoCredito,19.25,1103.25,No,
1448,2958-NHPPS,Masculino,0,No,No,23,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,No,BoletoEletronico,20.85,473.9,No,
4532,2154-KVJFF,Feminino,0,No,No,15,Yes,Yes,Fibra,No,Yes,No,No,No,No,Mensal,Yes,BoletoEletronico,79.75,1111.85,Yes,
6651,2038-YSEZE,Feminino,0,No,No,29,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Mensal,No,BoletoImpresso,67.45,1801.1,No,
1745,2418-TPEUN,Feminino,0,Yes,Yes,56,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Yes,CartaoCredito,19.8,1119.9,No,
3434,1877-HKBQX,Feminino,0,No,No,11,Yes,No,DSL,Yes,No,No,Yes,No,No,Anual,Yes,BoletoImpresso,54.6,617.85,No,
4420,1544-JJMYL,Masculino,0,No,No,27,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Anual,No,CartaoCredito,69.35,1927.3,No,
287,5583-SXDAG,Masculino,0,Yes,No,1,Yes,No,Fibra,No,No,No,No,No,No,Mensal,No,BoletoEletronico,70.0,70,Yes,
1738,8646-JCOMS,Feminino,0,Yes,No,66,Yes,Yes,Fibra,No,Yes,Yes,Yes,No,No,Anual,Yes,DebitoAutomatico,90.55,6130.95,No,
6345,6048-QBXKL,Feminino,1,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Mensal,Yes,CartaoCredito,56.55,118.25,No,
6213,8999-EXMNO,Feminino,0,Yes,Yes,19,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,No,BoletoImpresso,20.15,387.7,No,
2664,6242-SGYTS,Masculino,0,Yes,Yes,62,Yes,Yes,Fibra,Yes,Yes,No,No,Yes,No,Anual,Yes,CartaoCredito,94.95,5791.85,No,
3832,4626-OZDTJ,Feminino,0,Yes,No,51,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Anual,Yes,CartaoCredito,78.65,3950.85,No,
6092,4024-CSNBY,Feminino,0,Yes,No,72,Yes,Yes,Fibra,Yes,Yes,Yes,Yes,No,No,2 anos,Yes,DebitoAutomatico,94.25,6849.75,No,
3424,4112-LUEIZ,Masculino,0,No,No,10,Yes,No,Fibra,No,No,No,No,Yes,Yes,Mensal,Yes,BoletoEletronico,89.5,863.1,Yes,
5770,6252-DFGTK,Feminino,0,Yes,No,37,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Anual,No,CartaoCredito,68.1,2479.25,No,
1684,4422-QVIJA,Feminino,0,No,Yes,35,Yes,Yes,DSL,No,No,No,No,No,No,Mensal,No,BoletoImpresso,50.15,1655.35,No,
4578,7766-CLTIC,Feminino,0,No,No,10,Yes,No,DSL,No,No,No,Yes,No,Yes,Mensal,Yes,BoletoImpresso,60.95,629.55,No,
1338,1934-SJVJK,Masculino,0,No,No,1,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,No,BoletoImpresso,20.15,20.15,Yes,
